experiment,config,records,record_runs,runs,batch_concurrency,verifier_concurrency,reasoning_effort,extra_classifier,prediction_yield,exact_unique_id_rate,exact_triplet_rate,repeat_consistency,triplet_consistency,records_per_minute,wall_seconds_total,estimated_public_cost_usd,cost_per_usable_record_usd,cost_per_100_records_usd,total_tokens,reasoning_tokens,peak_total_tpm,pareto_efficient,recommended,notes
known_solvable_concurrency,known_solvable_c2,100,300,3,2,,medium,false,0.9600,0.9300,0.3400,0.9300,0.9300,2.047,8440.698,14.364530,0.049877,4.987684,5067024,597283,67386,false,false,"Known-solvable 100-record cohort, 3 repeats; costs mined from per-run usage logs."
known_solvable_concurrency,known_solvable_c6,100,300,3,6,,medium,false,0.9733,0.9267,0.3200,0.9300,0.9300,6.086,2878.898,14.527512,0.049752,4.975175,5122621,604667,153087,false,false,"Known-solvable 100-record cohort, 3 repeats; costs mined from per-run usage logs."
known_solvable_concurrency,known_solvable_c12,100,300,3,12,,medium,false,0.9600,0.9367,0.3433,0.9600,0.9600,8.916,1937.991,14.433406,0.050116,5.011599,5037377,604789,269573,false,false,"Known-solvable 100-record cohort, 3 repeats; costs mined from per-run usage logs."
verifier_cap_sweep,verifier_cap_1,100,300,3,10,1,medium,false,0.8633,0.8067,0.8067,0.8100,0.8100,9.690,1857.490,16.903655,0.056346,5.634552,7673289,529444,328727,false,false,"Verifier-concurrency cap sweep, 3 repeats; cost/TPM from run summary."
verifier_cap_sweep,verifier_cap_3,100,300,3,10,3,medium,false,0.8900,0.8400,0.8400,0.9100,0.9100,10.303,1747.096,16.897801,0.056326,5.632600,7683900,529068,392915,true,true,"Verifier-concurrency cap sweep, 3 repeats; cost/TPM from run summary."
verifier_cap_sweep,verifier_cap_6,100,300,3,10,6,medium,false,0.8600,0.8033,0.8033,0.8300,0.8300,10.336,1741.560,16.839205,0.056131,5.613068,7683612,520310,412171,false,false,"Verifier-concurrency cap sweep, 3 repeats; cost/TPM from run summary."
verifier_cap_sweep,verifier_cap_10,100,300,3,10,10,medium,false,0.8800,0.8433,0.8433,0.8600,0.8600,10.506,1713.329,16.765116,0.055884,5.588372,7668121,516637,428031,true,false,"Verifier-concurrency cap sweep, 3 repeats; cost/TPM from run summary."
verifier_cap_sweep,verifier_cap_20,100,300,3,10,20,medium,false,0.8800,0.8333,0.8333,0.8200,0.8200,9.911,1816.100,16.843198,0.056144,5.614399,7691916,520110,389010,false,false,"Verifier-concurrency cap sweep, 3 repeats; cost/TPM from run summary."
token_pressure_stress,baseline_medium_c10_v3,100,100,1,10,3,medium,false,0.8800,0.8200,0.8200,0.8800,0.8800,10.184,589.164,5.614187,0.056142,5.614200,2548720,175989,363982,false,false,Token-pressure stress run; one completed run.
token_pressure_stress,high_concurrency_medium_c20_v10,100,100,1,20,10,medium,false,0.8600,0.7900,0.7900,0.8600,0.8600,16.687,359.570,5.629770,0.056298,5.629800,2572211,173163,706561,true,false,Token-pressure stress run; one completed run.
token_pressure_stress,max_pressure_high_c20_v20_all_on,100,100,1,20,20,high,true,0.8900,0.8400,0.8400,0.8900,0.8900,13.710,437.641,6.953565,0.069536,6.953600,2685475,308303,576070,true,false,Token-pressure stress run; one completed run.
token_pressure_stress,high_reasoning_c10_v3,100,100,1,10,3,high,false,0.8800,0.8300,0.8300,0.8800,0.8800,7.841,765.209,7.008953,0.070090,7.009000,2698281,312143,287838,false,false,Token-pressure stress run; one completed run.
